LSOA21CD,LSOA21NM,household_single_person_aged_66_over,household_couple_with_dependent_children,household_lone_parent_with_dependent_children
E01000192,Barnet 018A,91,158,42
E01000193,Barnet 018B,70,132,52
E01000194,Barnet 018C,66,137,96
E01000195,Barnet 013A,60,151,95
E01000196,Barnet 028A,129,145,51
E01000197,Barnet 023A,53,158,48
E01000198,Barnet 025A,79,223,47
E01000199,Barnet 025B,109,142,27
E01000200,Barnet 028B,198,178,26
E01000201,Barnet 028C,66,147,9
E01000202,Barnet 028D,61,150,24
E01000203,Barnet 028E,64,137,94
E01000204,Barnet 025C,101,149,32
E01000205,Barnet 035A,99,182,19
E01000206,Barnet 033B,43,98,17
E01000207,Barnet 033C,146,152,26
E01000208,Barnet 033D,76,157,21
E01000209,Barnet 035B,219,134,24
E01000210,Barnet 033E,66,182,37
E01000211,Barnet 035C,122,147,90
E01000212,Barnet 035D,65,106,21
E01000213,Barnet 033F,41,160,10
E01000214,Barnet 038E,67,130,30
E01000215,Barnet 037B,122,224,30
E01000216,Barnet 035E,85,182,20
E01000217,Barnet 035F,44,174,16
E01000218,Barnet 037C,48,163,27
E01000219,Barnet 037D,52,185,21
E01000220,Barnet 037E,94,154,28
E01000221,Barnet 039B,32,106,69
E01000222,Barnet 040C,44,133,84
E01000223,Barnet 039C,46,158,89
E01000224,Barnet 040D,50,120,37
E01000225,Barnet 037F,96,197,15
E01000226,Barnet 018D,67,115,58
E01000227,Barnet 018E,50,154,13
E01000228,Barnet 007A,38,132,25
E01000229,Barnet 013B,53,141,54
E01000230,Barnet 013C,101,166,24
E01000231,Barnet 013D,51,152,59
E01000232,Barnet 013E,85,162,44
E01000233,Barnet 013F,55,190,35
E01000234,Barnet 021D,65,174,47
E01000235,Barnet 021E,36,120,71
E01000236,Barnet 034A,66,212,30
E01000237,Barnet 032A,50,165,45
E01000238,Barnet 034B,41,188,48
E01000239,Barnet 031A,65,146,57
E01000240,Barnet 031B,60,111,36
E01000241,Barnet 031C,76,150,33
E01000242,Barnet 032B,90,143,30
E01000243,Barnet 032C,94,141,51
E01000244,Barnet 032D,58,100,38
E01000245,Barnet 032E,70,135,94
E01000246,Barnet 002B,106,135,27
E01000247,Barnet 002C,63,158,49
E01000248,Barnet 001A,120,182,37
E01000249,Barnet 001B,74,162,33
E01000250,Barnet 001C,146,213,73
E01000251,Barnet 002D,150,155,75
E01000252,Barnet 002E,131,136,49
E01000253,Barnet 007B,88,194,13
E01000254,Barnet 001D,90,153,20
E01000255,Barnet 017A,63,127,51
E01000256,Barnet 016A,69,192,41
E01000257,Barnet 017B,112,163,74
E01000258,Barnet 016B,105,163,30
E01000259,Barnet 025D,113,248,66
E01000260,Barnet 025E,73,198,71
E01000261,Barnet 017C,156,150,18
E01000263,Barnet 016C,45,176,12
E01000264,Barnet 016D,57,164,42
E01000265,Barnet 011A,74,177,70
E01000266,Barnet 011B,49,136,16
E01000267,Barnet 005A,67,135,30
E01000268,Barnet 005B,95,171,112
E01000269,Barnet 005C,66,121,26
E01000270,Barnet 005D,88,145,29
E01000271,Barnet 008A,90,131,24
E01000272,Barnet 008B,52,125,15
E01000273,Barnet 008C,104,123,44
E01000274,Barnet 011C,68,164,60
E01000275,Barnet 012A,74,143,31
E01000276,Barnet 020A,39,201,12
E01000277,Barnet 012B,123,110,40
E01000278,Barnet 020B,46,186,15
E01000279,Barnet 007C,62,110,14
E01000280,Barnet 007D,59,126,12
E01000281,Barnet 008D,71,182,53
E01000282,Barnet 008E,79,186,25
E01000283,Barnet 012C,50,142,12
E01000284,Barnet 012D,105,120,54
E01000285,Barnet 004A,89,127,51
E01000286,Barnet 007E,83,136,55
E01000287,Barnet 004B,78,110,78
E01000288,Barnet 004C,87,152,33
E01000289,Barnet 004D,51,110,70
E01000290,Barnet 007F,131,134,37
E01000291,Barnet 004E,64,133,68
E01000292,Barnet 001E,105,119,37
E01000293,Barnet 001F,79,164,27
E01000294,Barnet 004F,112,174,40
E01000295,Barnet 023B,62,137,23
E01000296,Barnet 023C,58,171,42
E01000297,Barnet 027D,41,124,24
E01000298,Barnet 023D,80,148,31
E01000299,Barnet 019A,104,184,59
E01000300,Barnet 019B,73,162,41
E01000301,Barnet 020C,55,165,15
E01000302,Barnet 019C,93,162,42
E01000303,Barnet 020D,48,160,19
E01000304,Barnet 020E,40,128,41
E01000305,Barnet 036B,57,89,30
E01000306,Barnet 036C,42,88,26
E01000307,Barnet 039D,58,104,39
E01000308,Barnet 036D,80,144,57
E01000309,Barnet 031D,60,132,31
E01000310,Barnet 034C,70,134,55
E01000311,Barnet 034D,47,184,21
E01000312,Barnet 036E,47,135,37
E01000313,Barnet 036F,53,122,47
E01000314,Barnet 032F,50,135,35
E01000315,Barnet 022F,61,100,76
E01000316,Barnet 027E,46,181,81
E01000317,Barnet 019D,72,142,40
E01000318,Barnet 019E,62,143,32
E01000319,Barnet 027F,42,162,19
E01000320,Barnet 011D,113,163,41
E01000321,Barnet 012E,61,154,42
E01000322,Barnet 011E,97,150,89
E01000323,Barnet 019F,88,155,57
E01000324,Barnet 015F,57,161,47
E01000325,Bexley 014A,56,154,24
E01000326,Bexley 014B,47,136,46
E01000327,Bexley 017A,105,153,23
E01000328,Bexley 017B,80,170,36
E01000329,Bexley 017C,81,153,63
E01000330,Bexley 017D,176,101,49
E01000331,Bexley 017E,75,149,62
E01000332,Bexley 005A,93,95,37
E01000333,Bexley 003A,130,157,83
E01000334,Bexley 006A,97,141,45
E01000335,Bexley 003B,50,197,123
E01000336,Bexley 003C,89,124,130
E01000337,Bexley 003D,50,127,93
E01000338,Bexley 003E,57,147,67
E01000339,Bexley 025A,67,146,49
E01000340,Bexley 018A,90,151,35
E01000341,Bexley 022A,99,132,30
E01000342,Bexley 022B,83,147,31
E01000343,Bexley 022C,70,147,33
E01000344,Bexley 025B,97,162,41
E01000345,Bexley 022D,42,118,23
E01000346,Bexley 021A,80,165,23
E01000347,Bexley 021B,112,136,41
E01000348,Bexley 020A,54,150,14
E01000349,Bexley 020B,94,182,30
E01000350,Bexley 021C,50,143,21
E01000351,Bexley 024A,79,153,25
E01000352,Bexley 021D,102,130,64
E01000353,Bexley 011A,117,129,14
E01000354,Bexley 011B,85,123,48
E01000355,Bexley 011C,103,113,19
E01000356,Bexley 009A,114,150,15
E01000357,Bexley 009B,61,147,17
E01000358,Bexley 011D,94,141,36
E01000359,Bexley 009C,60,106,15
E01000360,Bexley 015A,97,171,62
E01000361,Bexley 020C,56,143,35
E01000362,Bexley 015B,124,138,58
E01000363,Bexley 020D,75,126,30
E01000364,Bexley 023A,84,175,33
E01000365,Bexley 015C,139,149,59
E01000366,Bexley 015D,62,164,31
E01000367,Bexley 010A,65,171,130
E01000368,Bexley 010B,45,129,93
E01000369,Bexley 014C,57,130,36
E01000370,Bexley 014D,107,130,15
E01000371,Bexley 014E,68,166,43
E01000372,Bexley 010C,57,120,61
E01000373,Bexley 008A,30,145,70
E01000374,Bexley 019A,45,142,68
E01000375,Bexley 019B,54,194,72
E01000376,Bexley 019C,75,168,47
E01000377,Bexley 019D,93,128,42
E01000379,Bexley 019F,73,152,46
E01000380,Bexley 010D,184,97,67
E01000381,Bexley 028A,78,126,76
E01000382,Bexley 027A,83,153,22
E01000383,Bexley 028B,89,125,26
E01000384,Bexley 027B,146,161,53
E01000385,Bexley 028C,74,150,131
E01000386,Bexley 028D,110,91,83
E01000387,Bexley 027C,102,138,23
E01000388,Bexley 016A,101,131,19
E01000389,Bexley 020E,107,145,42
E01000390,Bexley 020F,77,130,23
E01000391,Bexley 021E,75,171,41
E01000392,Bexley 016B,67,153,108
E01000393,Bexley 020G,66,162,28
E01000394,Bexley 015E,113,147,38
E01000395,Bexley 018B,53,147,20
E01000396,Bexley 018C,57,131,15
E01000398,Bexley 029A,80,117,36
E01000399,Bexley 029B,106,128,23
E01000400,Bexley 029C,74,123,29
E01000401,Bexley 013A,95,125,79
E01000402,Bexley 005B,80,111,86
E01000403,Bexley 004A,199,154,156
E01000404,Bexley 004B,53,195,214
E01000405,Bexley 004C,33,145,86
E01000406,Bexley 005C,44,206,89
E01000407,Bexley 005D,134,153,39
E01000408,Bexley 004D,28,136,82
E01000409,Bexley 016C,91,180,25
E01000410,Bexley 018D,78,166,38
E01000411,Bexley 016D,74,130,35
E01000412,Bexley 018E,67,176,35
E01000413,Bexley 018F,62,121,41
E01000414,Bexley 016E,115,143,51
E01000415,Bexley 016F,63,119,10
E01000416,Bexley 002A,31,85,60
E01000417,Bexley 006B,80,134,54
E01000418,Bexley 002B,79,163,58
E01000419,Bexley 006C,102,131,17
E01000420,Bexley 006D,71,116,38
E01000421,Bexley 009D,104,127,12
E01000422,Bexley 002C,34,82,82
E01000423,Bexley 025C,86,178,16
E01000424,Bexley 026A,99,114,26
E01000425,Bexley 025D,60,192,15
E01000426,Bexley 026B,86,148,45
E01000427,Bexley 026C,196,169,48
E01000428,Bexley 027D,185,127,79
E01000429,Bexley 008B,41,119,134
E01000430,Bexley 008C,42,202,97
E01000431,Bexley 008D,43,87,60
E01000433,Bexley 008F,51,142,125
E01000434,Bexley 008G,67,109,85
E01000435,Bexley 010E,77,112,77
E01000436,Bexley 011E,74,171,22
E01000437,Bexley 007A,77,119,25
E01000438,Bexley 007B,65,152,70
E01000439,Bexley 007C,44,113,59
E01000440,Bexley 007D,84,106,12
E01000441,Bexley 007E,74,145,109
E01000442,Bexley 006E,90,140,35
E01000443,Bexley 024B,64,121,33
E01000444,Bexley 023B,74,153,25
E01000445,Bexley 024C,118,169,34
E01000446,Bexley 024D,58,148,34
E01000447,Bexley 023C,134,191,57
E01000448,Bexley 023D,84,138,12
E01000449,Bexley 023E,128,162,10
E01000450,Bexley 009E,71,172,56
E01000451,Bexley 009F,54,159,31
E01000452,Bexley 009G,47,139,22
E01000453,Bexley 013B,47,147,27
E01000454,Bexley 013C,92,128,36
E01000455,Bexley 013D,59,178,24
E01000456,Bexley 013E,34,143,26
E01000457,Bexley 026D,136,154,70
E01000458,Bexley 027E,172,131,18
E01000459,Bexley 027F,212,129,53
E01000460,Bexley 022E,43,127,7
E01000461,Bexley 024E,49,169,14
E01000462,Bexley 026E,138,122,69
E01000463,Bexley 025E,50,141,16
E01000464,Bexley 002D,71,83,65
E01000465,Bexley 002E,90,103,91
E01000466,Bexley 001A,43,108,85
E01000467,Bexley 001B,30,118,99
E01000468,Bexley 001C,29,233,183
E01000469,Bexley 001D,42,129,97
E01000470,Bexley 002F,50,77,96
E01000471,Brent 026A,36,82,21
E01000472,Brent 029A,47,197,97
E01000473,Brent 029B,43,142,70
E01000474,Brent 026B,34,77,23
E01000475,Brent 029C,37,129,22
E01000476,Brent 026C,44,58,19
E01000477,Brent 026D,40,141,41
E01000478,Brent 029D,45,129,45
E01000479,Brent 009A,46,107,19
E01000480,Brent 006A,39,109,22
E01000481,Brent 009B,65,130,70
E01000483,Brent 009D,51,118,103
E01000484,Brent 006B,38,101,83
E01000485,Brent 006C,70,103,34
E01000486,Brent 006D,36,125,25
E01000487,Brent 006E,130,143,39
E01000488,Brent 022A,47,95,43
E01000489,Brent 030A,129,107,49
E01000490,Brent 023A,51,120,34
E01000491,Brent 030B,73,148,64
E01000492,Brent 030C,42,123,19
E01000493,Brent 030D,58,118,31
E01000494,Brent 023B,104,135,45
E01000495,Brent 023C,138,83,38
E01000497,Brent 011A,41,97,37
E01000498,Brent 010B,31,101,48
E01000499,Brent 011B,31,132,89
E01000501,Brent 011C,74,132,102
E01000502,Brent 011D,60,155,93
E01000503,Brent 011E,81,133,67
E01000504,Brent 018A,62,140,44
E01000505,Brent 018B,55,93,35
E01000506,Brent 014A,45,96,90
E01000507,Brent 018C,41,102,29
E01000508,Brent 025A,83,174,96
E01000509,Brent 014B,44,65,21
E01000510,Brent 014C,75,88,64
E01000511,Brent 014D,37,124,82
E01000512,Brent 018D,92,111,34
E01000513,Brent 002A,42,107,18
E01000514,Brent 002B,32,97,37
E01000515,Brent 003A,57,138,65
E01000516,Brent 002C,39,155,32
E01000517,Brent 003B,43,100,10
E01000518,Brent 005A,68,98,39
E01000519,Brent 005B,54,144,43
E01000520,Brent 002D,71,140,39
E01000521,Brent 025B,67,119,145
E01000522,Brent 025C,42,149,109
E01000523,Brent 031A,47,155,150
E01000524,Brent 031B,83,118,149
E01000525,Brent 031C,65,97,112
E01000526,Brent 025D,70,121,117
E01000527,Brent 025E,69,115,115
E01000528,Brent 025F,61,103,92
E01000530,Brent 033A,56,150,42
E01000531,Brent 033B,119,106,69
E01000532,Brent 033C,49,90,37
E01000533,Brent 031E,86,140,112
E01000534,Brent 033D,50,143,54
E01000535,Brent 031F,78,136,96
E01000536,Brent 004A,54,109,22
E01000538,Brent 004B,35,113,10
E01000539,Brent 004C,89,113,12
E01000540,Brent 004D,50,83,14
E01000541,Brent 004E,59,96,19
E01000543,Brent 003E,46,89,19
E01000544,Brent 034A,50,112,64
E01000545,Brent 028A,80,101,50
E01000546,Brent 028B,70,101,43
E01000547,Brent 028C,50,122,48
E01000548,Brent 028D,99,82,80
E01000549,Brent 028E,81,119,34
E01000550,Brent 034B,96,114,83
E01000551,Brent 034C,68,165,123
E01000552,Brent 034D,41,115,64
E01000553,Brent 015A,49,104,53
E01000554,Brent 015B,61,156,57
E01000555,Brent 015C,38,104,56
E01000556,Brent 015D,56,87,49
E01000557,Brent 015E,49,114,45
E01000558,Brent 015F,67,78,53
E01000559,Brent 018E,76,101,25
E01000560,Brent 023D,70,100,35
E01000561,Brent 023E,65,128,54
E01000562,Brent 008A,52,73,20
E01000563,Brent 008B,43,83,11
E01000564,Brent 013A,30,123,34
E01000565,Brent 013B,39,97,35
E01000566,Brent 008C,56,89,11
E01000567,Brent 016A,49,122,25
E01000568,Brent 008D,24,113,22
E01000569,Brent 008E,48,77,19
E01000570,Brent 012A,42,85,24
E01000571,Brent 012B,29,64,19
E01000572,Brent 007A,38,101,23
E01000573,Brent 007B,41,104,18
E01000574,Brent 007C,35,112,15
E01000575,Brent 007D,61,129,36
E01000576,Brent 012C,61,98,24
E01000577,Brent 007E,45,223,145
E01000578,Brent 012D,96,160,65
E01000579,Brent 032A,43,101,49
E01000580,Brent 032B,91,190,67
E01000581,Brent 030E,40,120,47
E01000582,Brent 032C,47,201,57
E01000583,Brent 032D,81,146,63
E01000584,Brent 033E,47,138,25
E01000585,Brent 033F,36,142,51
E01000586,Brent 032E,62,144,75
E01000587,Brent 001A,32,92,12
E01000589,Brent 001B,48,170,50
E01000590,Brent 001C,82,116,25
E01000591,Brent 003F,61,136,20
E01000592,Brent 001D,42,90,41
E01000593,Brent 001E,53,111,58
E01000594,Brent 001F,38,90,18
E01000595,Brent 027A,50,101,154
E01000596,Brent 021A,62,128,94
E01000599,Brent 027D,48,103,103
E01000601,Brent 021B,29,63,110
E01000602,Brent 021C,45,64,59
E01000603,Brent 021D,54,108,116
E01000604,Brent 021E,46,98,57
E01000605,Brent 021F,37,92,68
E01000606,Brent 016B,63,122,37
E01000607,Brent 013C,44,132,35
E01000608,Brent 013D,96,172,53
E01000609,Brent 016C,35,128,55
E01000610,Brent 019A,43,162,45
E01000611,Brent 016D,36,142,34
E01000612,Brent 019B,39,118,27
E01000613,Brent 013E,53,133,61
E01000615,Brent 036A,41,182,52
E01000616,Brent 020A,38,94,31
E01000617,Brent 036B,81,102,38
E01000618,Brent 036D,56,69,32
E01000619,Brent 036C,39,81,24
E01000620,Brent 020B,41,74,24
E01000621,Brent 020C,40,68,33
E01000622,Brent 010D,54,167,68
E01000623,Brent 005C,37,126,27
E01000624,Brent 005D,81,96,24
E01000625,Brent 009E,71,114,56
E01000626,Brent 010E,65,110,73
E01000627,Brent 014E,52,106,72
E01000628,Brent 014F,50,84,50
E01000629,Brent 005E,64,128,24
E01000630,Brent 026E,55,171,61
E01000631,Brent 019C,31,115,16
E01000632,Brent 029E,28,98,24
E01000633,Brent 019D,45,129,33
E01000634,Brent 019E,42,168,66
E01000636,Brent 020E,53,149,51
E01000637,Brent 022B,56,86,56
E01000638,Brent 024A,66,169,116
E01000639,Brent 022C,37,100,49
E01000640,Brent 024B,52,144,122
E01000641,Brent 024C,57,137,91
E01000642,Brent 022D,78,99,65
E01000643,Brent 024D,86,117,143
E01000644,Brent 022E,60,103,73
E01000645,Bromley 007A,55,154,17
E01000646,Bromley 016A,129,170,48
E01000647,Bromley 016B,55,195,55
E01000648,Bromley 016C,61,201,51
E01000649,Bromley 007B,111,229,35
E01000650,Bromley 022A,131,175,36
E01000651,Bromley 020A,95,162,27
E01000652,Bromley 022B,95,165,32
E01000653,Bromley 016D,94,153,20
E01000654,Bromley 039A,48,127,29
E01000655,Bromley 039B,48,134,31
E01000656,Bromley 039C,59,142,16
E01000657,Bromley 039D,89,131,54
E01000658,Bromley 042A,115,76,24
E01000659,Bromley 039E,48,142,26
E01000661,Bromley 026A,159,220,189
E01000662,Bromley 026B,75,174,41
E01000663,Bromley 026C,121,171,65
E01000664,Bromley 026D,68,164,50
E01000665,Bromley 033A,106,171,63
E01000666,Bromley 033B,137,140,28
E01000667,Bromley 033C,77,159,16
E01000668,Bromley 020B,140,250,51
E01000669,Bromley 020C,82,197,48
E01000670,Bromley 018A,87,183,27
E01000671,Bromley 020D,139,229,64
E01000672,Bromley 011A,83,163,34
E01000673,Bromley 011B,54,187,45
E01000674,Bromley 008A,124,153,52
E01000676,Bromley 008B,96,147,77
E01000677,Bromley 018C,68,205,62
E01000678,Bromley 016E,70,206,27
E01000679,Bromley 020E,52,212,46
E01000680,Bromley 037A,68,125,19
E01000681,Bromley 035A,69,215,23
E01000682,Bromley 035B,124,176,26
E01000683,Bromley 035C,97,177,52
E01000684,Bromley 035D,68,273,23
E01000685,Bromley 037B,74,185,42
E01000686,Bromley 037C,137,150,27
E01000687,Bromley 037D,109,141,37
E01000688,Bromley 037E,60,147,10
E01000689,Bromley 002A,76,110,59
E01000690,Bromley 002B,62,152,26
E01000691,Bromley 002C,97,148,44
E01000692,Bromley 002D,88,175,44
E01000693,Bromley 010A,182,109,19
E01000694,Bromley 007C,101,270,42
E01000695,Bromley 007D,89,155,24
E01000696,Bromley 007E,132,146,21
E01000697,Bromley 007F,93,173,43
E01000698,Bromley 010B,57,107,11
E01000699,Bromley 015A,44,115,72
E01000700,Bromley 013A,65,148,54
E01000701,Bromley 015B,46,163,45
E01000702,Bromley 013B,44,138,30
E01000703,Bromley 013C,68,193,42
E01000704,Bromley 015C,78,152,38
E01000705,Bromley 015D,52,99,55
E01000706,Bromley 013D,73,126,39
E01000707,Bromley 041A,36,234,24
E01000708,Bromley 041B,101,183,45
E01000709,Bromley 006A,159,100,29
E01000710,Bromley 006B,117,189,56
E01000711,Bromley 006C,161,129,49
E01000712,Bromley 012A,141,131,35
E01000713,Bromley 012B,112,174,44
E01000714,Bromley 006D,155,164,97
E01000715,Bromley 012C,187,145,31
E01000716,Bromley 011C,100,151,19
E01000717,Bromley 011D,140,142,45
E01000718,Bromley 006E,83,164,103
E01000719,Bromley 019A,96,163,128
E01000720,Bromley 019B,53,154,95
E01000721,Bromley 019C,64,117,84
E01000722,Bromley 023A,89,156,63
E01000723,Bromley 029A,123,82,22
E01000724,Bromley 019D,74,131,105
E01000725,Bromley 023B,100,137,74
E01000726,Bromley 029B,95,106,25
E01000727,Bromley 028A,157,146,44
E01000728,Bromley 019E,106,107,71
E01000729,Bromley 014A,82,159,130
E01000730,Bromley 014B,60,133,111
E01000731,Bromley 023C,57,119,52
E01000732,Bromley 023D,73,144,21
E01000733,Bromley 023E,69,158,47
E01000734,Bromley 028B,51,152,47
E01000735,Bromley 014C,47,133,66
E01000736,Bromley 010C,60,133,72
E01000737,Bromley 010D,81,114,59
E01000738,Bromley 014D,82,151,38
E01000739,Bromley 014E,75,125,106
E01000741,Bromley 005B,54,128,70
E01000742,Bromley 005C,55,122,104
E01000743,Bromley 009A,93,95,100
